B1,Jupiler League,l001,Belgium,ba06,jupiler-league
D1,Bundesliga,l007,Germany,ba01,bundesliga
D2,2.Bundesliga,l011,Germany,ba01,2-bundesliga
E0,Premier League,l004,England,ba02,premier-league
E1,Championship,l008,England,ba02,championship
E2,League One,l009,England,ba02,league-one
E3,League Two,l010,England,ba02,league-two
F1,Ligue 1,l002,France,ba04,ligue-1
F2,Ligue 2,l012,France,ba04,ligue-2
I1,Serie A,l006,Italy,ba05,serie-a
I2,Serie B,l013,Italy,ba05,serie-b
SP1,Liga de Primera División,l005,Spain,ba03,liga-primera-division
SP2,Liga de Segunda División,l005,Spain,ba03,liga-segunda-division